Provinsi;Kabupaten;Indeks Pembangunan Literasi Masyarakat;Rasio Ketercukupan Tenaga Perpustakaan;Tingkat Kunjungan Masyarakat per hari;Perpustakaan yang dibina sesuai SNP;Keterlibatan Masyarakat dalam Kegiatan Sosialisasi Perpustakaan;Jumlah Anggota Perpustakaan;Pemerataan Layanan Perpustakaan;Ketercukupan Koleksi Perpustakaan
Jawa Timur;Sumenep;47.09;0.1012;0.013;0.4448;1;1;0.1933;0.5439
Jawa Timur;Kota Kediri;63.16;0.4319;0.032;1;1;1;0.4913;0.4659
Jawa Timur;Kota Blitar;80.75;1;0.0691;1;1;1;0.8611;0.7221
Jawa Timur;Kota Malang;94.22;1;1;1;1;1;0.8609;0.7346
Jawa Timur;Kota Probolinggo;82.9;1;0.9169;1;1;1;0.513;0.3727
Jawa Timur;Kota Pasuruan;84.38;1;0.4061;1;1;1;0.7087;0.7919
Jawa Timur;Kota Mojokerto;80.03;1;0.1939;1;1;1;0.537;0.8711
Jawa Timur;Kota Madiun;93.94;1;0.7975;1;1;1;0.8319;0.9462
Jawa Timur;Kota Surabaya;84.32;0.5386;1;1;0.7188;1;0.6453;1
Jawa Timur;Kota Batu;83;1;0.0491;1;1;1;0.761;1
Banten;Pandeglang;51.77;0.0727;0.0385;1;1;1;0.2958;0.2172
Banten;Lebak;50.26;0.0837;0.0338;1;1;1;0.2574;0.1436
Banten;Tangerang;49.93;0.1253;0.0212;1;1;1;0.2257;0.1227
Banten;Serang;47.83;0.3321;0.0073;1;0.6589;1;0.2807;0.0695
Banten;Kota Tangerang;54.25;0.2603;0.0513;1;1;1;0.3871;0.099
Banten;Kota Cilegon;58.16;0.3609;0.0438;1;1;1;0.58;0.0863
Banten;Kota Serang;46.76;0.1221;0.0187;1;1;0.3268;0.5175;0.288
Banten;Kota Tangerang Selatan;54.69;0.3627;0.0214;1;1;1;0.3843;0.06
Kalimantan Selatan;Tanah Laut;38.23;0.1454;0.0143;0.3436;0.4709;1;0.6014;0.1006
Kalimantan Selatan;Kota Baru;60.23;1;0.145;1;0.2592;1;0.3906;0.4211
Kalimantan Selatan;Banjar;67.23;1;0.0191;1;1;1;0.5506;0.1361
Kalimantan Selatan;Barito Kuala;58.92;0.4895;0.0163;1;1;1;0.4972;0.1216
Kalimantan Selatan;Tapin;79.6;1;0.101;0.8207;1;1;0.6506;1
Kalimantan Selatan;Hulu Sungai Selatan;70.48;0.2261;0.0717;1;1;1;0.6357;1
Kalimantan Selatan;Hulu Sungai Tengah;57.53;0.7603;0.2423;0.1811;1;1;0.4917;0.352
Kalimantan Selatan;Hulu Sungai Utara;82.34;1;0.414;1;1;1;0.7107;0.6392
Kalimantan Selatan;Tabalong;79.04;0.6887;0.1856;1;1;1;0.7682;0.8905
Kalimantan Selatan;Tanah Bumbu;61.03;0.3581;0.1067;1;1;1;0.5057;0.3016
Kalimantan Selatan;Balangan;67.73;1;0.0706;0.4895;0.5464;1;0.6348;1
Kalimantan Selatan;Kota Banjarmasin;73.57;0.4794;0.2215;1;1;1;0.8382;0.6111
Kalimantan Selatan;Kota Banjar Baru;70.33;0.7719;0.102;1;1;1;0.8319;0.2173
Kalimantan Tengah;Kotawaringin Barat;68.26;0.8366;0.2451;1;1;1;0.4979;0.1985
Kalimantan Tengah;Kotawaringin Timur;56.57;0.7166;0.0048;1;0.866;1;0.2491;0.1233
Kalimantan Tengah;Kapuas;61.89;0.8388;0.0065;1;1;1;0.3393;0.1477
Kalimantan Tengah;Barito Selatan;52;0.3599;0.0508;0.4701;1;1;0.3568;0.4023
Kalimantan Tengah;Barito Utara;46.72;0.1716;0.0415;0.1121;1;1;0.5945;0.3509
Kalimantan Tengah;Sukamara;80.04;1;0.0165;1;1;1;0.7639;0.8227
Kalimantan Tengah;Lamandau;59.38;0.7185;0.068;0.308;1;1;0.3694;0.6927
Kalimantan Tengah;Seruyan;62.32;1;0.1277;1;0.5621;1;0.3309;0.3415
Kalimantan Tengah;Katingan;55.89;0.2439;0.0159;1;1;1;0.1898;0.4628
Kalimantan Tengah;Pulang Pisau;66.13;1;0.0371;1;0.9022;1;0.2923;0.3974
Kalimantan Tengah;Gunung Mas;48.88;0.6149;0.0084;0.4015;1;1;0.2099;0.187
Kalimantan Tengah;Barito Timur;64.07;1;0.0918;1;1;1;0.3567;0.0361
Kalimantan Tengah;Murung Raya;29.15;0.0441;0.2511;0.0993;0.4847;1;0.102;0.0593
Kalimantan Tengah;Kota Palangka Raya;65.4;0.8009;0.0154;1;1;1;0.4421;0.3196
Bali;Jembrana;56;0.0534;0.0415;1;1;1;0.6387;0.1865
Bali;Tabanan;53.96;0.1864;0.0142;1;1;1;0.5064;0.0704
Bali;Badung;72.7;0.828;0.0429;1;1;1;0.7715;0.4463
Bali;Gianyar;54.8;0.0716;0.0253;1;0.7504;1;0.6083;0.3804
Bali;Klungkung;61.07;0.4556;0.0329;1;1;1;0.5281;0.2579
Bali;Bangli;54.94;0.0562;0.0223;1;1;1;0.5924;0.1749
Bali;Karang Asem;55.85;0.044;0.0413;0.9324;1;1;0.7004;0.1917
Bali;Buleleng;65;0.6848;0.0126;1;1;1;0.7822;0.0703
Bali;Kota Denpasar;71.92;0.6123;0.0155;1;1;1;0.7552;0.6516
Kalimantan Barat;Sambas;71.42;1;0.1336;1;1;1;0.5642;0.3014
Kalimantan Barat;Bengkayang;69.74;1;0.0431;1;1;1;0.7683;0.0706
Kalimantan Barat;Landak;51.46;0.5612;0.0158;0.616;1;1;0.3436;0.0657
Kalimantan Barat;Mempawah;73.89;1;0.0392;1;1;1;0.7125;0.4203
Kalimantan Barat;Sanggau;66.17;0.1268;0.3851;1;1;1;0.48;0.64
Kalimantan Barat;Ketapang;63.62;0.2703;0.8379;0.422;1;1;0.4524;0.4709
Kalimantan Barat;Sintang;51.35;0.3928;0.0235;0.3816;1;1;0.4594;0.3372
Kalimantan Barat;Kapuas Hulu;58.36;0.1667;0.0351;1;1;1;0.3003;0.5829
Kalimantan Barat;Sekadau;56.29;0.1282;0.0578;0.9925;1;1;0.4127;0.349
Kalimantan Barat;Melawi;57.07;0.9361;0.0166;0.6952;1;0.7393;0.3349;0.2729
Kalimantan Barat;Kayong Utara;74.9;0.4195;0.0484;1;1;1;1;0.7752
Kalimantan Barat;Kubu Raya;58.64;0.5344;0.0451;1;1;1;0.3944;0.1308
Kalimantan Barat;Kota Pontianak;75.39;0.9257;0.3459;1;1;1;0.7726;0.2328
Kalimantan Barat;Kota Singkawang;67.99;0.4659;0.1;1;1;1;0.8031;0.3899
Nusa Tenggara Barat;Lombok Barat;46.34;0.346;0.0108;1;0.2682;1;0.4207;0.198
Nusa Tenggara Barat;Lombok Tengah;41.94;0.4847;0.0336;0.1339;1;1;0.239;0.0444
Nusa Tenggara Barat;Lombok Timur;44.4;0.483;0.0328;1;0.1661;1;0.2866;0.1398
Nusa Tenggara Barat;Sumbawa;53.3;0.289;0.2257;0.392;1;1;0.4498;0.3745
Nusa Tenggara Barat;Dompu;54;0.0834;0.9231;1;0.3722;1;0.2621;0.1394
Nusa Tenggara Barat;Bima;41.2;0.1184;0.0068;1;0.2169;1;0.3365;0.2053
Nusa Tenggara Barat;Sumbawa Barat;70.6;1;0.0501;1;1;1;0.5034;0.3885
Nusa Tenggara Barat;Lombok Utara;61.2;1;0.0614;0.7712;1;1;0.3349;0.1167
Nusa Tenggara Barat;Kota Mataram;69.38;1;0.0325;0.464;1;1;0.8499;0.5105
Nusa Tenggara Barat;Kota Bima;65.48;1;0.074;0.8933;1;1;0.5488;0.0673
Nusa Tenggara Timur;Sumba Barat;55.32;0;0.0974;1;1;1;0.5078;0.2673
Nusa Tenggara Timur;Sumba Timur;51.46;0.1206;0.0643;0.4299;0.6733;1;0.3143;1
Nusa Tenggara Timur;Kupang;29.39;0.0593;0.0237;1;0.2498;0.0958;0.3632;0.2657
Nusa Tenggara Timur;Timor Tengah Selatan;55.13;0.0435;0.0436;1;1;1;0.3267;0.4456
Nusa Tenggara Timur;Timor Tengah Utara;70.67;1;0.04;0.9339;1;1;0.6538;0.3195
Nusa Tenggara Timur;Belu;80.78;1;0.0557;1;1;1;0.5989;1
Nusa Tenggara Timur;Alor;54.56;0.1385;0.0434;1;1;1;0.2861;0.3513
Nusa Tenggara Timur;Lembata;67.81;0.2504;0.0651;1;1;1;0.4312;1
Nusa Tenggara Timur;Flores Timur;43.45;0.1048;0.0449;1;0.5226;1;0.3198;0.0497
Nusa Tenggara Timur;Sikka;55.84;0.2141;0.239;0.3449;1;1;0.7389;0.372
Nusa Tenggara Timur;Ende;45.35;0.1005;0.026;0.5181;1;1;0.3041;0.2259
Nusa Tenggara Timur;Ngada;62.43;0.2498;0.2489;1;1;1;0.4669;0.4047
Nusa Tenggara Timur;Manggarai;41.89;0.1181;0.0431;1;0.7918;0.7406;0.2306;0.0079
Nusa Tenggara Timur;Rote Ndao;56.19;0.2184;0.0403;0.9232;1;1;0.4698;0.2817
Nusa Tenggara Timur;Manggarai Barat;47.88;0.2749;0.0355;0.6617;1;1;0.2061;0.1731
Nusa Tenggara Timur;Sumba Tengah;60.02;0;0.1564;1;1;1;0.56;0.4853
Nusa Tenggara Timur;Sumba Barat Daya;53.52;0.0406;0.1254;1;1;1;0.3343;0.2461
Nusa Tenggara Timur;Nagekeo;61.5;0.1506;0.1045;1;1;1;0.5409;0.5087
Nusa Tenggara Timur;Manggarai Timur;61.79;0.472;0.0538;1;1;1;0.2412;0.5583
Nusa Tenggara Timur;Sabu Raijua;63.28;0.5119;0.048;1;1;1;0.4466;0.4229
Nusa Tenggara Timur;Malaka;69.01;0.6775;0.0545;1;1;1;0.6062;0.4928
Nusa Tenggara Timur;Kota Kupang;61.81;0.3705;0.0287;1;1;1;0.7348;0.193
